LLgeneID,EntrezGeneID
LL0000000001,562916
LL0000000002,100006972
LL0000000003,378454
LL0000000004,393984
LL0000000005,100148912
LL0000000006,569798
LL0000000007,557979
LL0000000008,436696
LL0000000009,568999
LL0000000010,100534954
LL0000000011,553802
LL0000000012,405874
LL0000000013,393677
LL0000000014,30685
LL0000000015,431768
LL0000000016,324940
LL0000000017,792787
LL0000000018,445178
LL0000000019,570338
LL0000000020,619247
LL0000000021,556229
LL0000000022,559477
LL0000000023,100004850
LL0000000024,555739
LL0000000025,378968
LL0000000026,558335
LL0000000027,558924
LL0000000028,100136868
LL0000000029,100006090
LL0000000030,564344
LL0000000031,798993
LL0000000032,555506
LL0000000033,100151075
LL0000000034,100003744
LL0000000035,797269
LL0000000036,571189
LL0000000037,100136865
LL0000000038,798527
LL0000000039,564067
LL0000000040,100004801
LL0000000041,566515
LL0000000042,548340
LL0000000043,570148
LL0000000044,100002010
LL0000000045,556709
LL0000000046,568482
LL0000000047,559093
LL0000000048,393561
LL0000000049,323301
LL0000000050,368620
LL0000000051,336147
LL0000000052,566555
LL0000000053,110439293
LL0000000054,100002917
LL0000000055,553281
LL0000000056,100329706
LL0000000057,561160
LL0000000058,566367
LL0000000059,100537809
LL0000000060,101882118
LL0000000061,406803
LL0000000062,100170781
LL0000000063,767748
LL0000000064,406324
LL0000000065,406467
LL0000000066,336770
LL0000000067,100000576
LL0000000068,100331227
LL0000000069,556979
LL0000000070,735312
LL0000000071,570453
LL0000000072,569858
LL0000000073,735310
LL0000000074,564842
LL0000000075,794238
LL0000000076,557317
LL0000000077,100136850
LL0000000078,558667
LL0000000079,568517
LL0000000080,492622
LL0000000081,446169
LL0000000082,767657
LL0000000083,561333
LL0000000084,404598
LL0000000085,393338
LL0000000086,560644
LL0000000087,564613
LL0000000088,322121
LL0000000089,100003419
LL0000000090,437017
LL0000000091,393126
LL0000000092,503769
LL0000000093,393888
LL0000000094,559290
LL0000000095,447830
LL0000000096,550276
LL0000000097,799085
LL0000000098,558995
LL0000000099,558563
LL0000000100,101883400
LL0000000101,393711
LL0000000102,767738
LL0000000103,767646
LL0000000104,692331
LL0000000105,767807
LL0000000106,566059
LL0000000107,101884149
LL0000000108,100149890
LL0000000109,100000720
LL0000000110,570636
LL0000000111,100003558
LL0000000112,541550
LL0000000113,568454
LL0000000114,566821
LL0000000115,563897
LL0000000116,565190
LL0000000117,324520
LL0000000118,445477
LL0000000119,336650
LL0000000120,449820
LL0000000121,406584
LL0000000122,553568
LL0000000123,100536189
LL0000000124,559451
LL0000000125,100007078
LL0000000126,431754
LL0000000127,406325
LL0000000128,559403
LL0000000129,556236
LL0000000130,393147
LL0000000131,394130
LL0000000132,724002
LL0000000133,394156
LL0000000134,406283
LL0000000135,445288
LL0000000136,110437777
LL0000000137,573723
LL0000000138,497505
LL0000000139,559593
LL0000000140,561771
LL0000000141,100124613
LL0000000142,322991
LL0000000143,100009646
LL0000000144,445290
LL0000000145,30643
LL0000000146,406270
LL0000000147,406368
LL0000000148,553674
LL0000000149,100004736
LL0000000150,324090
LL0000000151,619256
LL0000000152,541510
LL0000000153,794664
LL0000000154,565980
LL0000000155,492331
LL0000000156,550266
LL0000000157,100331179
LL0000000158,555411
LL0000000159,114549
LL0000000160,368893
LL0000000161,327495
LL0000000162,101887081
LL0000000163,100000764
LL0000000164,561050
LL0000000165,100003167
LL0000000166,641390
LL0000000167,436922
LL0000000168,794259
LL0000000169,557166
LL0000000170,568448
LL0000000171,322670
LL0000000172,795305
LL0000000173,554842
LL0000000174,641574
LL0000000175,100536873
LL0000000176,564010
LL0000000177,557184
LL0000000178,557032
LL0000000179,402867
LL0000000180,572757
LL0000000181,556673
LL0000000182,492778
LL0000000183,553440
LL0000000184,562047
LL0000000185,553217
LL0000000186,447878
LL0000000187,450052
LL0000000188,798073
LL0000000189,798008
LL0000000190,449662
LL0000000191,406421
LL0000000192,569104
LL0000000193,541489
LL0000000194,503759
LL0000000195,406801
LL0000000196,436725
LL0000000197,558758
LL0000000198,571830
LL0000000199,100006023
LL0000000200,335159
LL0000000201,751707
LL0000000202,562292
LL0000000203,555308
LL0000000204,445175
LL0000000205,100332846
LL0000000206,567157
LL0000000207,559656
LL0000000208,393622
LL0000000209,334561
LL0000000210,447860
LL0000000211,100002035
LL0000000212,541435
LL0000000213,436914
LL0000000214,560020
LL0000000215,566019
LL0000000216,550445
LL0000000217,407658
LL0000000218,322509
LL0000000219,57934
LL0000000220,57935
LL0000039756,408256
LL0000000222,58114
LL0000000223,415164
LL0000000224,192313
LL0000000225,553775
LL0000000226,560400
LL0000000227,100538165
LL0000000228,641575
LL0000000229,58037
LL0000000230,323320
LL0000000231,322221
LL0000000232,406681
LL0000000233,393139
LL0000000234,406820
LL0000000235,554861
LL0000000236,406250
LL0000000237,100038776
LL0000000238,406809
LL0000000239,324822
LL0000000240,326866
LL0000000241,30183
LL0000000242,559222
LL0000000243,100331105
LL0000000244,30615
LL0000000245,553359
LL0000000246,100331014
LL0000000247,30457
LL0000000248,100331938
LL0000000249,266753
LL0000000250,393970
LL0000000251,791456
LL0000000252,436619
LL0000000253,571263
LL0000000254,101886626
LL0000000255,436919
LL0000000256,373884
LL0000000257,559295
LL0000000258,564818
LL0000000259,558824
LL0000000260,619263
LL0000000261,566044
LL0000000262,393392
LL0000000263,567145
LL0000000264,563275
LL0000000265,101884222
LL0000000266,795199
LL0000000267,324142
LL0000000268,560657
LL0000000269,565342
LL0000000270,571252
LL0000000271,100126805
LL0000000272,794175
LL0000000273,767749
LL0000000274,368917
LL0000000275,100005593
LL0000000276,447940
LL0000000277,565145
LL0000000278,564734
LL0000000279,100003937
LL0000000280,100320289
LL0000000281,101886422
LL0000000282,569571
LL0000000283,100002059
LL0000000284,568792
LL0000000285,101884120
LL0000000286,100150128
LL0000000287,571682
LL0000000288,102467218
LL0000000289,565053
LL0000000290,569099
LL0000000291,560364
LL0000000292,569618
LL0000000293,100333407
LL0000000294,100537087
LL0000000295,100534944
LL0000000296,101886605
LL0000000297,556634
LL0000000298,100331455
LL0000000299,58119
LL0000000300,58134
LL0000000301,558759
LL0000000302,558149
LL0000000303,792614
LL0000000304,100034610
LL0000000305,368634
LL0000000306,100144553
LL0000000307,572087
LL0000000308,100001584
LL0000000309,557026
LL0000000310,569499
LL0000000311,563724
LL0000000312,557902
LL0000000313,571825
LL0000000314,564719
LL0000000315,562619
LL0000000316,570652
LL0000000317,560807
LL0000000318,568726
LL0000000319,100148976
LL0000000320,100333702
LL0000000321,259257
LL0000000322,335625
LL0000039757,541315
LL0000039758,555473
LL0000000324,555511
LL0000000325,570147
LL0000000326,556762
LL0000000327,553243
LL0000000328,555435
LL0000000329,560847
LL0000039759,101884141
LL0000000330,560700
LL0000000331,100003592
LL0000000332,563527
LL0000000333,100302472
LL0000000334,556993
LL0000000335,566117
LL0000000336,791731
LL0000000337,571770
LL0000000338,569655
LL0000000339,100538238
LL0000000340,108182849
LL0000000341,100536619
LL0000000342,110437794
LL0000000343,110439897
LL0000000344,
LL0000000345,
LL0000000346,101882660
LL0000000347,792970
LL0000000348,
LL0000000349,
LL0000000350,101883848
LL0000000351,100537132
LL0000000352,101886922
LL0000000353,565465
LL0000000354,565101
LL0000000355,613165
LL0000000356,100537224
LL0000000357,324948
LL0000000358,563883
LL0000000359,101882832
LL0000000360,799479
LL0000000361,793963
LL0000000362,100331278
LL0000000363,561970
LL0000000364,101882620
LL0000000365,
LL0000000366,100334775
LL0000000367,562531
LL0000000368,57987
LL0000000369,110437953
LL0000000370,
LL0000000371,560631
LL0000000372,406676
LL0000000373,415105
LL0000000374,116517
LL0000000375,322482
LL0000000376,402841
LL0000000377,404618
LL0000000378,324079
LL0000000379,562602
LL0000000380,751715
LL0000000381,436740
LL0000000382,406821
LL0000000383,560140
LL0000000384,368220
LL0000000385,322229
LL0000000386,403114
LL0000000387,100322075
LL0000000388,556502
LL0000000389,570100
LL0000000390,140619
LL0000000391,100007394
LL0000000392,564171
LL0000000393,564637
LL0000000394,100330315
LL0000000395,494091
LL0000000396,406474
LL0000000397,100007535
LL0000000398,100150997
LL0000000399,561701
LL0000000400,566118
LL0000000401,560100
LL0000000402,557919
LL0000000403,566398
LL0000000404,445059
LL0000000405,450012
LL0000000406,796446
LL0000000407,393393
LL0000000408,798498
LL0000000409,557259
LL0000000410,100149100
LL0000000411,492486
LL0000000412,568614
LL0000000413,266750
LL0000000414,266751
LL0000000415,266752
LL0000000416,266754
LL0000000417,266755
LL0000000418,557194
LL0000000419,565838
LL0000000420,100037315
LL0000000421,558248
LL0000000422,792519
LL0000000423,796450
LL0000000424,334431
LL0000000425,550502
LL0000000426,192305
LL0000000427,407989
LL0000000428,550414
LL0000000429,793308
LL0000000430,406815
LL0000000431,503710
LL0000000432,393395
LL0000000433,568356
LL0000000434,566757
LL0000000435,768144
LL0000000436,567369
LL0000000437,558359
LL0000000438,100537394
LL0000000439,100330019
LL0000000440,570215
LL0000000441,556421
LL0000000442,561238
LL0000000443,555926
LL0000000444,569168
LL0000000445,550372
LL0000000446,568707
LL0000000447,556043
LL0000000448,100004990
LL0000000449,566517
LL0000000450,100148154
LL0000000451,565109
LL0000000452,324332
LL0000000453,100536841
LL0000000454,568152
LL0000000455,550450
LL0000000456,445479
LL0000000457,327597
LL0000000458,393560
LL0000000459,559905
LL0000000460,334270
LL0000000461,567798
LL0000000462,553352
LL0000000463,556522
LL0000000464,405819
LL0000000465,570775
LL0000000466,570630
LL0000000467,567622
LL0000000468,568159
LL0000000469,100535764
LL0000000470,777624
LL0000000471,406734
LL0000000472,406265
LL0000000473,767778
LL0000000474,567414
LL0000000475,386801
LL0000000476,335309
LL0000000477,335616
LL0000000478,565373
LL0000000479,100149042
LL0000000480,322485
LL0000000481,554164
LL0000000482,794575
LL0000000483,100333455
LL0000000484,503772
LL0000000485,793937
LL0000000486,619269
LL0000000487,436603
LL0000000488,79378
LL0000000489,553494
